ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
6,conventional,4,smoc2,67.291,6848,3248,18980,25844,9408,2438
6,conventional,4,smoc3,68.23,6356,3440,14236,27264,10900,2438
6,conventional,4,smoc4,66.897,2648,3108,18660,22932,8940,2438
6,conventional,4,smoc5,67.656,3944,8544,17976,26108,15008,2435
6,conventional,4,smoc6,67.471,1460,4316,11892,24988,9212,2438
6,conventional,4,smoc7,27.687,1408,100,6900,10284,6064,2437
6,conventional,5,smoc1,64.817,7196,2224,24804,24240,10284,2438
6,conventional,5,smoc2,64.973,6760,6636,22360,27312,13716,2437
6,conventional,5,smoc3,65.517,2272,2936,9832,21440,9296,2437
6,conventional,5,smoc4,65.253,3356,5264,11036,22736,12460,2442
6,conventional,5,smoc5,66.214,6468,5676,21788,27364,14164,2439
6,conventional,5,smoc6,66.466,10700,9276,27640,23192,14440,2439
6,conventional,5,smoc7,26.066,7444,2844,8384,15492,7036,2437
6,conventional,6,smoc1,67.607,7292,2380,24360,23708,10116,2438
6,conventional,6,smoc2,67.086,4908,2508,23012,26628,10804,2435
6,conventional,6,smoc3,67.725,8408,6636,27420,26660,14060,2438
6,conventional,6,smoc4,67.497,5316,4272,17908,19196,9752,2436
6,conventional,6,smoc5,68.245,5220,7704,19628,21364,14648,2436
6,conventional,6,smoc6,68.554,6112,5816,25868,27052,12500,2438
6,conventional,6,smoc7,27.306,8596,3228,17396,8080,8264,2441
6,conventional,7,smoc1,68.222,2264,3260,9548,17156,9732,2439
6,conventional,7,smoc2,67.996,7052,2416,14456,27008,9820,2439
6,conventional,7,smoc3,67.379,2408,3332,14208,20340,9904,2436
6,conventional,7,smoc4,68.405,4868,4316,11792,19628,9292,2437
6,conventional,7,smoc5,66.943,7160,6912,17300,25156,12372,2436
6,conventional,7,smoc6,67.92,7852,8532,25896,28484,13808,2438
6,conventional,7,smoc7,26.894,2432,2640,3344,1060,2740,2436
6,conventional,8,smoc1,67.675,2320,4732,11560,19264,9224,2439
6,conventional,8,smoc2,68.401,4696,3752,18332,20792,9640,2438
