ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
8,conventional,4,smoc6,21.206,12988,10288,161348,164192,107492,4075
8,conventional,4,smoc7,21.767,8028,7172,146548,150340,94596,4079
8,conventional,4,smoc8,21.012,13160,12372,130928,138380,80160,4081
8,conventional,4,smoc9,7.820,4540,568,91084,94536,68312,4085
8,conventional,5,smoc1,21.824,8764,11784,116336,140636,87752,4088
8,conventional,5,smoc2,19.383,15072,12372,158900,163048,100916,4073
8,conventional,5,smoc3,21.453,8792,8712,171792,176832,106580,4066
8,conventional,5,smoc4,21.249,9408,9148,124344,142848,83664,4091
8,conventional,5,smoc5,21.058,6852,9632,112108,119928,78188,4086
8,conventional,5,smoc6,21.663,6876,11672,109756,121512,88268,4084
8,conventional,5,smoc7,21.937,13432,10836,144236,156688,101236,4080
8,conventional,5,smoc8,21.506,2044,10464,166844,180520,106308,4088
8,conventional,5,smoc9,7.610,6148,780,44860,40888,32460,4090
8,conventional,6,smoc1,22.375,13668,10160,137280,154856,87476,4088
8,conventional,6,smoc2,21.439,12940,8856,167144,180788,100164,4088
8,conventional,6,smoc3,21.375,13740,8816,133632,136708,81888,4076
8,conventional,6,smoc4,22.362,13528,10660,202196,209352,122344,4075
8,conventional,6,smoc5,22.938,12216,8044,62256,61500,63984,4073
8,conventional,6,smoc6,22.001,12988,10256,174456,176660,98520,4073
8,conventional,6,smoc7,22.701,13220,8288,168508,177008,99440,4081
8,conventional,6,smoc8,21.991,13508,9884,112668,120276,69148,4071
8,conventional,6,smoc9,7.799,8680,2652,180412,179308,167492,4084
8,conventional,7,smoc1,21.396,10044,8856,151592,154376,96164,4088
8,conventional,7,smoc2,21.382,10112,10524,113516,115472,66728,4084
8,conventional,7,smoc3,19.777,12192,7624,159724,166760,92244,4084
8,conventional,7,smoc4,21.511,7120,10988,121144,136964,90944,4082
8,conventional,7,smoc5,21.708,5300,7472,56784,66872,73432,4083
8,conventional,7,smoc6,21.942,12744,8020,121516,124116,81072,4073
8,conventional,7,smoc7,21.215,1820,10340,118212,141852,85292,4089
8,conventional,7,smoc8,20.756,7532,7828,83640,90552,60504,4080
8,conventional,7,smoc9,6.831,3304,992,106088,102592,101560,4071
8,conventional,8,smoc1,21.321,5104,8504,132512,154920,98292,4097
8,conventional,8,smoc2,21.716,7648,12220,166092,173636,104740,4086
8,conventional,8,smoc3,19.051,12628,8436,144232,142544,92024,4066
8,conventional,8,smoc4,20.951,12528,7996,127620,136632,92536,4083
8,conventional,8,smoc5,21.666,11204,8172,166964,180176,118984,4084
8,conventional,8,smoc6,22.35,7508,8240,101744,115364,64324,4090
8,conventional,8,smoc7,21.864,11920,8568,202336,206224,121600,4077
8,conventional,8,smoc8,21.305,11212,8840,190756,197388,109184,4066
8,conventional,8,smoc9,7.196,19492,15920,101936,96172,72364,4080
8,conventional,9,smoc1,18.857,13508,10124,122912,128676,74096,4079
8,conventional,9,smoc2,19.451,11284,7740,140772,143920,93000,4065
8,conventional,9,smoc3,20.654,11952,8052,177012,182072,123148,4083
8,conventional,9,smoc4,19.761,13208,10284,151796,160304,90392,4083
8,conventional,9,smoc5,20.718,7384,7108,126160,142768,92064,4093
8,conventional,9,smoc6,20.055,13720,11336,138488,157584,89080,4085
8,conventional,9,smoc7,20.584,12596,9500,136484,142360,85076,4086
8,conventional,9,smoc8,21.031,3276,9236,129552,144168,85500,4079
8,conventional,9,smoc9,8.477,11392,9952,111816,114688,118052,4075
8,conventional,10,smoc1,20.237,8044,7652,143684,155652,77788,4079
8,conventional,10,smoc2,20.149,8280,7084,177172,184348,101680,4082
8,conventional,10,smoc3,21.248,11412,8440,108176,122720,78996,4093
8,conventional,10,smoc4,20.246,12180,8008,155072,167392,111576,4093
8,conventional,10,smoc5,19.825,17540,12116,162400,169688,118064,4090
8,conventional,10,smoc6,18.962,8812,7788,53944,69060,70008,4094
8,conventional,10,smoc7,20.208,7484,9040,49400,58792,65704,4089
8,conventional,10,smoc8,20.99,12404,12308,130528,135876,83064,4078
8,conventional,10,smoc9,6.883,4920,3804,53248,52288,52208,4071
10,centralized,1,smoc1,24.717,11320,6976,44396,47008,46632,4079
10,centralized,1,smoc2,25.206,4812,9480,73060,83968,65952,4081
10,centralized,1,smoc3,24.562,11300,7940,60556,76056,65484,4088
10,centralized,1,smoc4,26.071,10444,10816,55408,73256,67436,4090
10,centralized,1,smoc5,25.284,7112,6736,83768,82448,54568,4068
10,centralized,1,smoc6,26.558,10304,10308,72524,83940,58072,4073
10,centralized,1,smoc7,25.005,10616,10176,80840,84860,67468,4070
10,centralized,1,smoc8,25.557,3960,6544,67680,77344,59468,4087
10,centralized,1,smoc9,25.57,9032,9776,25176,28036,26032,4088
10,centralized,1,smoc10,25.554,6700,6900,71420,76684,55528,4086
10,centralized,1,smoc11,6.906,5656,3400,53228,52936,60908,4070
10,centralized,2,smoc1,25.717,8008,8816,77948,81688,67216,4068
10,centralized,2,smoc2,25.913,6248,8052,14828,19264,20024,4082
10,centralized,2,smoc3,25.645,3516,9380,52516,70844,65604,4082
10,centralized,2,smoc4,26.487,6700,6796,86840,97076,80828,4087
10,centralized,2,smoc5,26.685,9716,7524,68628,72056,70128,4084
10,centralized,2,smoc6,26.145,6140,6912,57980,66416,59628,4091
10,centralized,2,smoc7,25.545,6672,7992,63620,77280,51980,4079
10,centralized,2,smoc8,25.63,10880,7816,29532,34096,32700,4093
10,centralized,2,smoc9,27.557,9824,7480,75156,81892,66484,4080
