ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop,ObjectSize
6,mirrored,6,smoc1,13.447,13640,9300,127044,128676,72544,3532,134040
6,mirrored,6,smoc2,13.783,6392,9400,86708,100052,89048,3557,134040
6,mirrored,6,smoc3,13.615,12028,11532,106440,131712,69808,3554,133920
6,mirrored,6,smoc4,13.589,14076,14456,126456,130060,71300,3539,133920
6,mirrored,6,smoc5,13.291,10476,10876,62880,88904,68096,3558,135240
6,mirrored,6,smoc6,13.646,14272,10592,99760,100500,86996,3535,135240
6,mirrored,6,smoc7,5.953,6080,4092,55896,55220,57852,3541,230400
6,mirrored,7,smoc1,14.253,9716,13012,97320,102444,58944,3553,135520
6,mirrored,7,smoc2,13.758,9168,11260,142072,150764,79876,3534,135520
6,mirrored,7,smoc3,13.068,7576,10740,92608,119496,61156,3556,133000
6,mirrored,7,smoc4,13.802,8768,12444,113480,122040,61520,3540,133000
6,mirrored,7,smoc5,14.16,8952,11104,111420,117464,60836,3537,134680
6,mirrored,7,smoc6,12.862,10652,9956,94608,100444,54948,3533,134680
6,mirrored,7,smoc7,5.264,9920,7488,61032,58844,99120,3537,230400
6,mirrored,8,smoc1,12.862,10512,9216,118824,122524,70808,3533,133960
6,mirrored,8,smoc2,12.581,9544,12204,87868,93440,55988,3531,133960
6,mirrored,8,smoc3,13.204,13500,10844,102316,107976,56752,3553,134280
6,mirrored,8,smoc4,13.908,7228,10752,94000,111028,58348,3542,134280
6,mirrored,8,smoc5,13.741,12332,11780,104476,114688,67264,3552,134960
6,mirrored,8,smoc6,13.193,8544,13644,93236,118136,70276,3556,134960
6,mirrored,8,smoc7,4.815,5128,8120,52332,49804,62696,3552,230400
6,mirrored,9,smoc1,14.026,6676,11312,88212,104832,61472,3545,134880
6,mirrored,9,smoc2,13.805,12176,10272,83044,88980,56784,3532,134880
6,mirrored,9,smoc3,14.618,7000,9988,91088,116144,63280,3558,133960
6,mirrored,9,smoc4,13.972,7844,12972,84200,94352,55152,3554,133960
6,mirrored,9,smoc5,13.207,13732,10536,95984,97728,51624,3531,134360
6,mirrored,9,smoc6,13.809,6728,10740,104952,116392,65672,3554,134360
6,mirrored,9,smoc7,4.938,8092,3556,92536,89652,56768,3536,230400
6,mirrored,10,smoc1,13.714,8408,11724,97248,107724,56396,3535,136600
6,mirrored,10,smoc2,13.559,8124,10272,108940,117868,67172,3537,136600
6,mirrored,10,smoc3,13.556,10520,8808,89844,94356,49676,3532,132920
6,mirrored,10,smoc4,14.088,6808,12176,93624,101092,54004,3556,132920
6,mirrored,10,smoc5,13.51,13128,8940,79452,86112,49512,3535,133680
6,mirrored,10,smoc6,13.237,13916,13204,89356,89776,76124,3532,133680
6,mirrored,10,smoc7,4.774,6464,3992,66476,63976,35484,3557,230400
8,mirrored,1,smoc1,21.439,7368,9144,172056,185624,148056,3548,123320
8,mirrored,1,smoc2,21.802,13684,10812,101660,111188,63700,3537,123320
8,mirrored,1,smoc3,20.187,8492,9124,103356,113188,68332,3537,120800
8,mirrored,1,smoc4,19.739,9244,7912,100208,106980,57832,3538,120800
8,mirrored,1,smoc5,20.843,7776,11752,52668,85536,54180,3558,121000
8,mirrored,1,smoc6,22.253,7716,10976,57312,80252,51052,3554,121000
8,mirrored,1,smoc7,20.43,13268,8576,76984,86024,54032,3537,124480
8,mirrored,1,smoc8,21.433,9372,8344,69792,95920,47776,3559,124480
8,mirrored,1,smoc9,6.944,12932,7216,90948,108716,90408,3555,230400
8,mirrored,2,smoc1,18.048,6652,10212,92320,100136,56456,3537,123280
8,mirrored,2,smoc2,17.454,10232,11608,87452,90328,52580,3532,123280
8,mirrored,2,smoc3,17.999,12804,7760,93972,96664,62916,3530,122320
