ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,MaxMemoryUsageInKb,DeltaMemoryUsageInKbFromVmSize,DeltaMemoryUsageInKbFromTop
8,centralized,10,smoc4,87.638,2497560,2492884,2434
8,centralized,10,smoc5,86.377,2499376,2494848,2436
8,centralized,10,smoc6,87.805,2497432,2492892,2434
8,centralized,10,smoc7,86.989,2498072,2493400,2434
8,centralized,10,smoc8,21.035,2501452,2496936,2438
8,distributed,1,smoc1,87.804,2499176,2494700,2436
8,distributed,1,smoc2,87.805,2500692,2495652,2437
8,distributed,1,smoc3,88.789,2502284,2497444,2438
8,distributed,1,smoc4,87.745,2497588,2492560,2434
8,distributed,1,smoc5,87.127,2500180,2495144,2436
8,distributed,1,smoc6,86.598,2497552,2492884,2434
8,distributed,1,smoc7,88.21,2499396,2494368,2435
8,distributed,1,smoc8,23.519,2497156,2492632,2434
8,distributed,2,smoc1,87.495,2504048,2499528,2440
8,distributed,2,smoc2,86.635,2503140,2497984,2439
8,distributed,2,smoc3,85.11,2500768,2496088,2437
8,distributed,2,smoc4,84.036,2498488,2493812,2435
8,distributed,2,smoc5,86.516,2498676,2493688,2435
8,distributed,2,smoc6,87.119,2499324,2494292,2435
8,distributed,2,smoc7,85.897,2497940,2493264,2434
8,distributed,2,smoc8,24.740,2500528,2496012,2437
8,distributed,3,smoc1,85.423,2501004,2495020,2436
8,distributed,3,smoc2,87.701,2498220,2493196,2434
8,distributed,3,smoc3,88.706,2501136,2496104,2437
8,distributed,3,smoc4,87.36,2497276,2492244,2433
8,distributed,3,smoc5,88.386,2497380,2492476,2434
8,distributed,3,smoc6,88.544,2505900,2501052,2442
8,distributed,3,smoc7,88.334,2501752,2496864,2438
8,distributed,3,smoc8,23.596,2501236,2496388,2437
8,distributed,4,smoc1,88.284,2498844,2494320,2435
8,distributed,4,smoc2,88.65,2509140,2502080,2443
8,distributed,4,smoc3,90.0,2498708,2494188,2435
8,distributed,4,smoc4,88.35,2498600,2493600,2435
8,distributed,4,smoc5,88.663,2499188,2494520,2436
8,distributed,4,smoc6,89.713,2504900,2500064,2441
8,distributed,4,smoc7,89.935,2498276,2493760,2435
8,distributed,4,smoc8,24.287,2497164,2492688,2434
8,distributed,5,smoc1,89.695,2498872,2494196,2435
8,distributed,5,smoc2,90.46,2504536,2499452,2440
8,distributed,5,smoc3,91.015,2500068,2495032,2436
8,distributed,5,smoc4,90.786,2503852,2498860,2440
8,distributed,5,smoc5,90.499,2501620,2496624,2438
8,distributed,5,smoc6,90.273,2500364,2495076,2436
8,distributed,5,smoc7,89.34,2498880,2493996,2435
8,distributed,5,smoc8,25.964,2499780,2495308,2436
8,distributed,6,smoc1,87.936,2502540,2497648,2439
8,distributed,6,smoc2,86.052,2498396,2493404,2434
8,distributed,6,smoc3,87.878,2497800,2492916,2434
8,distributed,6,smoc4,86.637,2496888,2492360,2433
8,distributed,6,smoc5,87.524,2508416,2501348,2442
8,distributed,6,smoc6,87.663,2499044,2494028,2435
8,distributed,6,smoc7,88.743,2499220,2494240,2435
8,distributed,6,smoc8,22.627,2497540,2493020,2434
8,distributed,7,smoc1,88.216,2507588,2500136,2441
8,distributed,7,smoc2,88.604,2499636,2494600,2436
8,distributed,7,smoc3,89.073,2498316,2493748,2435
8,distributed,7,smoc4,87.542,2499848,2494992,2436
8,distributed,7,smoc5,88.556,2497824,2492792,2434
8,distributed,7,smoc6,87.59,2498364,2493848,2435
8,distributed,7,smoc7,86.936,2506128,2499512,2440
8,distributed,7,smoc8,25.548,2506788,2499940,2441
8,distributed,8,smoc1,86.766,2499148,2494116,2435
8,distributed,8,smoc2,85.451,2502668,2498100,2439
8,distributed,8,smoc3,87.798,2497956,2493064,2434
8,distributed,8,smoc4,87.603,2498192,2493336,2434
8,distributed,8,smoc5,87.318,2499956,2495064,2436
8,distributed,8,smoc6,87.535,2495532,2493048,2434
8,distributed,8,smoc7,87.711,2498708,2493816,2435
8,distributed,8,smoc8,25.362,2502232,2496724,2438
8,distributed,9,smoc1,87.474,2500612,2495584,2437
8,distributed,9,smoc2,87.554,2498224,2493192,2434
8,distributed,9,smoc3,86.747,2500756,2495764,2437
8,distributed,9,smoc4,87.755,2501080,2496412,2437
8,distributed,9,smoc5,87.368,2500380,2495348,2436
8,distributed,9,smoc6,86.601,2499848,2494820,2436
8,distributed,9,smoc7,87.547,2500460,2495772,2437
8,distributed,9,smoc8,22.731,2501236,2496720,2438
8,distributed,10,smoc1,87.127,2501696,2495832,2437
8,distributed,10,smoc2,87.413,2500380,2495872,2437
8,distributed,10,smoc3,87.746,2502724,2497888,2439
8,distributed,10,smoc4,88.075,2499064,2494544,2436
8,distributed,10,smoc5,88.037,2498712,2493676,2435
8,distributed,10,smoc6,87.54,2498484,2493968,2435
8,distributed,10,smoc7,88.37,2498168,2493600,2435
8,distributed,10,smoc8,23.393,2497528,2493012,2434
