ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,VmStk,VmExe,VmLib,DeltaMemoryUsageInKbFromTop
8,distributed,8,smoc4,86.073,2503404,2498528,160640,151548,252880,132,8,5508,2439
8,distributed,8,smoc5,84.309,2499204,2494308,161140,149796,248532,132,8,5508,2435
8,distributed,8,smoc6,86.263,2502948,2498472,162040,154540,253148,132,8,5508,2439
8,distributed,8,smoc7,85.46,2497220,2492700,157632,148452,247504,132,8,5508,2434
8,distributed,8,smoc8,24.513,2501564,2496528,162172,153200,249828,132,8,5508,2438
8,distributed,9,smoc1,86.807,2498652,2493832,159844,150516,248380,132,8,5508,2435
8,distributed,9,smoc2,86.792,2499252,2494360,162400,150952,248780,132,8,5508,2435
8,distributed,9,smoc3,86.832,2498804,2493900,162596,152504,248252,132,8,5508,2435
8,distributed,9,smoc4,86.975,2502432,2497872,160372,150268,252032,132,8,5508,2439
8,distributed,9,smoc5,87.022,2499592,2494560,160520,148528,248848,132,8,5508,2436
8,distributed,9,smoc6,87.11,2499460,2494436,161224,151332,248400,132,8,5508,2435
8,distributed,9,smoc7,88.355,2499552,2494656,161984,149676,249524,132,8,5508,2436
8,distributed,9,smoc8,24.044,2501408,2496888,158856,153148,250772,132,8,5508,2438
8,distributed,10,smoc1,86.333,2502056,2497024,160564,154812,251508,132,8,5508,2438
8,distributed,10,smoc2,84.774,2497880,2493200,160124,151524,247936,132,8,5508,2434
8,distributed,10,smoc3,86.838,2499620,2494588,163064,149976,249136,132,8,5508,2436
8,distributed,10,smoc4,86.399,2497264,2492748,157228,148100,247296,132,8,5508,2434
8,distributed,10,smoc5,86.264,2498764,2493876,163220,154060,248488,132,8,5508,2435
8,distributed,10,smoc6,86.14,2498224,2493228,161836,150724,247452,132,8,5508,2434
8,distributed,10,smoc7,86.166,2497924,2492888,160660,151576,247112,132,8,5508,2434
8,distributed,10,smoc8,22.909,2497028,2492556,157656,149104,246116,132,8,5508,2434
12,distributed,1,smoc1,157.148,2500580,2495624,159672,151776,249716,132,8,5508,2437
12,distributed,1,smoc2,155.521,2497656,2493132,154656,147248,246768,132,8,5508,2434
12,distributed,1,smoc3,157.062,2497728,2492832,162112,150464,246600,132,8,5508,2434
12,distributed,1,smoc4,155.647,2498524,2493524,155296,148192,246512,132,8,5508,2435
12,distributed,1,smoc5,158.243,2497192,2492724,154384,148496,246556,132,8,5508,2434
12,distributed,1,smoc6,157.762,2500208,2495304,160764,150696,249200,132,8,5508,2436
12,distributed,1,smoc7,158.384,2497496,2492980,156332,151472,246944,132,8,5508,2434
12,distributed,1,smoc8,157.344,2496856,2492188,160336,150252,246604,132,8,5508,2433
12,distributed,1,smoc9,155.292,2497900,2493380,156060,147248,246432,132,8,5508,2434
12,distributed,1,smoc10,157.239,2505424,2499784,162892,152700,254072,132,8,5508,2441
12,distributed,1,smoc11,157.721,2502836,2497872,162148,151752,252284,132,8,5508,2439
12,distributed,1,smoc12,28.696,2499352,2494780,159720,152952,248276,132,8,5508,2436
12,distributed,2,smoc1,150.061,2504868,2499836,164012,154344,253860,132,8,5508,2441
12,distributed,2,smoc2,145.485,2497940,2493420,155412,145288,246340,132,8,5508,2434
12,distributed,2,smoc3,146.802,2497804,2492776,161628,150856,246544,132,8,5508,2434
12,distributed,2,smoc4,146.565,2499484,2494580,162244,151828,248220,132,8,5508,2436
12,distributed,2,smoc5,146.321,2509560,2502500,167440,152728,256204,132,8,5508,2443
12,distributed,2,smoc6,147.355,2501304,2496420,162052,149396,249864,132,8,5508,2437
12,distributed,2,smoc7,146.556,2499124,2494616,155572,148776,248320,132,8,5508,2436
12,distributed,2,smoc8,147.099,2501064,2495968,159880,149128,249800,132,8,5508,2437
12,distributed,2,smoc9,146.095,2500672,2496104,155556,150144,249156,132,8,5508,2437
12,distributed,2,smoc10,147.376,2499112,2494076,160852,149660,247780,132,8,5508,2435
12,distributed,2,smoc11,148.62,2502156,2497588,158284,151124,251160,132,8,5508,2439
