ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,MaxMemoryUsageInKb,DeltaMemoryUsageInKbFromVmSize,DeltaMemoryUsageInKbFromTop
12,our,7,smoc3,143.555,2497336,2494852,2436
12,our,7,smoc4,144.651,2495624,2494096,2435
12,our,7,smoc5,143.597,2500284,2498756,2440
12,our,7,smoc6,143.947,2503928,2499612,2441
12,our,7,smoc7,142.649,2496072,2493588,2435
12,our,7,smoc8,142.507,2494284,2492760,2434
12,our,7,smoc9,146.212,2495344,2492860,2434
12,our,7,smoc10,143.09,2497928,2495444,2436
12,our,7,smoc11,143.017,2496652,2493420,2434
12,our,7,smoc12,24.504,2497592,2495328,2436
12,our,8,smoc1,143.738,2498860,2496376,2437
12,our,8,smoc2,145.086,2503772,2499216,2440
12,our,8,smoc3,142.839,2497184,2496292,2437
12,our,8,smoc4,145.137,2496916,2494432,2435
12,our,8,smoc5,145.003,2503940,2498308,2439
12,our,8,smoc6,143.986,2497956,2493064,2434
12,our,8,smoc7,142.089,2498140,2495656,2437
12,our,8,smoc8,143.12,2500104,2495212,2436
12,our,8,smoc9,145.938,2501452,2496412,2437
12,our,8,smoc10,143.601,2501504,2497196,2438
12,our,8,smoc11,144.025,2499864,2495548,2437
12,our,8,smoc12,23.126,2503424,2498176,2439
12,our,9,smoc1,143.769,2501116,2499684,2441
12,our,9,smoc2,143.638,2495392,2492908,2434
12,our,9,smoc3,144.231,2501888,2497572,2439
12,our,9,smoc4,145.136,2498852,2493816,2435
12,our,9,smoc5,143.156,2495696,2493212,2434
12,our,9,smoc6,144.593,2496624,2494140,2435
12,our,9,smoc7,143.547,2494800,2493368,2434
12,our,9,smoc8,145.78,2502032,2499548,2440
12,our,9,smoc9,142.233,2498368,2495712,2437
12,our,9,smoc10,144.083,2500444,2494472,2436
12,our,9,smoc11,142.331,2499196,2496712,2438
12,our,9,smoc12,23.011,2498020,2495756,2437
12,our,10,smoc1,143.072,2495576,2494048,2435
12,our,10,smoc2,141.85,2500248,2495216,2436
12,our,10,smoc3,144.346,2504388,2500176,2441
12,our,10,smoc4,144.425,2500908,2495880,2437
12,our,10,smoc5,146.289,2496800,2495272,2436
12,our,10,smoc6,143.545,2498408,2495116,2436
12,our,10,smoc7,142.94,2498008,2495524,2437
12,our,10,smoc8,143.06,2497948,2495464,2436
12,our,10,smoc9,148.387,2496244,2494816,2436
12,our,10,smoc10,142.135,2509640,2502480,2443
12,our,10,smoc11,140.976,2495828,2494396,2435
12,our,10,smoc12,25.704,2502140,2497152,2438
8,our,1,smoc1,83.124,2494896,2492412,2433
8,our,1,smoc2,81.984,2500880,2495896,2437
8,our,1,smoc3,83.053,2500020,2495704,2437
8,our,1,smoc4,81.008,2497336,2493100,2434
8,our,1,smoc5,82.116,2496392,2494372,2435
8,our,1,smoc6,79.947,2497204,2495720,2437
8,our,1,smoc7,83.104,2495384,2492900,2434
8,our,1,smoc8,15.659,2495344,2493164,2434
8,our,2,smoc1,78.125,2496720,2495284,2436
8,our,2,smoc2,78.765,2498228,2494928,2436
8,our,2,smoc3,78.932,2495628,2494100,2435
8,our,2,smoc4,79.449,2496124,2493640,2435
8,our,2,smoc5,78.1,2496412,2493928,2435
8,our,2,smoc6,80.026,2500808,2496492,2437
8,our,2,smoc7,78.869,2500536,2496768,2438
8,our,2,smoc8,18.649,2494048,2492208,2433
8,our,3,smoc1,79.848,2497480,2496052,2437
8,our,3,smoc2,80.715,2496364,2494932,2436
8,our,3,smoc3,80.843,2496884,2494400,2435
8,our,3,smoc4,79.693,2498340,2495856,2437
8,our,3,smoc5,80.29,2498156,2493840,2435
8,our,3,smoc6,82.362,2496336,2494912,2436
8,our,3,smoc7,79.977,2497080,2495036,2436
8,our,3,smoc8,17.489,2501392,2496924,2438
8,our,4,smoc1,81.13,2497044,2492728,2434
8,our,4,smoc2,80.441,2498036,2493728,2435
8,our,4,smoc3,80.25,2495652,2493160,2434
8,our,4,smoc4,80.352,2499268,2494232,2435
8,our,4,smoc5,80.094,2500548,2496244,2437
8,our,4,smoc6,82.754,2496240,2494196,2435
8,our,4,smoc7,79.641,2499492,2495176,2436
8,our,4,smoc8,17.050,2501952,2496832,2438
8,our,5,smoc1,81.276,2504032,2498036,2439
8,our,5,smoc2,80.8,2497796,2493480,2435
8,our,5,smoc3,81.18,2507820,2500760,2442
8,our,5,smoc4,81.149,2496852,2494368,2435
8,our,5,smoc5,80.848,2498108,2493876,2435
8,our,5,smoc6,80.964,2497324,2492856,2434
8,our,5,smoc7,81.677,2508028,2500968,2442
8,our,5,smoc8,17.873,2497300,2492784,2434
8,our,6,smoc1,80.314,2499248,2494348,2435
8,our,6,smoc2,81.101,2500188,2498700,2440
8,our,6,smoc3,80.713,2497676,2495192,2436
8,our,6,smoc4,79.943,2497804,2495320,2436
8,our,6,smoc5,80.993,2497232,2492928,2434
8,our,6,smoc6,76.706,2500564,2494592,2436
8,our,6,smoc7,80.146,2495068,2493640,2435
8,our,6,smoc8,15.558,2498212,2496432,2437
8,our,7,smoc1,80.642,2501852,2496864,2438
8,our,7,smoc2,80.999,2497744,2495260,2436
8,our,7,smoc3,82.029,2500728,2498244,2439
8,our,7,smoc4,80.791,2499480,2495164,2436
8,our,7,smoc5,80.928,2497124,2494696,2436
8,our,7,smoc6,82.144,2493880,2492356,2433
8,our,7,smoc7,80.938,2500944,2495840,2437
8,our,7,smoc8,15.373,2495048,2493208,2434
8,our,8,smoc1,81.284,2496772,2495244,2436
8,our,8,smoc2,79.737,2498384,2494068,2435
8,our,8,smoc3,80.336,2499268,2495012,2436
8,our,8,smoc4,80.656,2495708,2493224,2434
8,our,8,smoc5,80.693,2497376,2494892,2436
8,our,8,smoc6,81.56,2495508,2493504,2435
8,our,8,smoc7,80.612,2498996,2494688,2436
8,our,8,smoc8,17.097,2498696,2493664,2435
8,our,9,smoc1,80.653,2495036,2492552,2434
8,our,9,smoc2,80.43,2494344,2492816,2434
8,our,9,smoc3,80.338,2502004,2497688,2439
8,our,9,smoc4,80.146,2498576,2493672,2435
8,our,9,smoc5,80.131,2499988,2497504,2438
8,our,9,smoc6,79.005,2508564,2501504,2442
8,our,9,smoc7,80.482,2508244,2501184,2442
8,our,9,smoc8,15.607,2496132,2494292,2435
8,our,10,smoc1,80.481,2495652,2494124,2435
8,our,10,smoc2,80.458,2500724,2495736,2437
8,our,10,smoc3,80.979,2498236,2493920,2435
8,our,10,smoc4,81.248,2497680,2493376,2434
8,our,10,smoc5,82.14,2499768,2494884,2436
8,our,10,smoc6,82.238,2500148,2495108,2436
8,our,10,smoc7,80.525,2499180,2494884,2436
8,our,10,smoc8,17.157,2495912,2494072,2435
8,base,1,smoc1,84.116,2497972,2495488,2437
8,base,1,smoc2,82.891,2506364,2499304,2440
8,base,1,smoc3,81.806,2497012,2495576,2437
8,base,1,smoc4,82.067,2497744,2495260,2436
8,base,1,smoc5,82.177,2500296,2495436,2436
8,base,1,smoc6,82.495,2506248,2499060,2440
8,base,1,smoc7,83.992,2508240,2501180,2442
8,base,1,smoc8,12.959,2504228,2496904,2438
8,base,2,smoc1,80.897,2507780,2500720,2442
8,base,2,smoc2,79.948,2498192,2496552,2438
8,base,2,smoc3,79.674,2497076,2495636,2437
8,base,2,smoc4,79.8,2507688,2500628,2442
8,base,2,smoc5,80.176,2507600,2500540,2441
8,base,2,smoc6,80.982,2501656,2497376,2438
8,base,2,smoc7,81.279,2507912,2500852,2442
8,base,2,smoc8,12.428,2492476,2492476,2434
8,base,3,smoc1,81.736,2499268,2497156,2438
8,base,3,smoc2,82.135,2494260,2491776,2433
8,base,3,smoc3,83.02,2496612,2494128,2435
8,base,3,smoc4,80.975,2498924,2496440,2437
8,base,3,smoc5,80.524,2498048,2493740,2435
8,base,3,smoc6,81.283,2506456,2499396,2440
8,base,3,smoc7,81.152,2499420,2497988,2439
8,base,3,smoc8,11.623,2504648,2497152,2438
8,base,4,smoc1,84.274,2497656,2495172,2436
8,base,4,smoc2,84.423,2507536,2500472,2441
8,base,4,smoc3,85.117,2494256,2491772,2433
8,base,4,smoc4,83.675,2508256,2501196,2442
8,base,4,smoc5,82.318,2498724,2497280,2438
8,base,4,smoc6,84.766,2496848,2494364,2435
8,base,4,smoc7,83.003,2498084,2496652,2438
8,base,4,smoc8,11.538,2496148,2495076,2436
8,base,5,smoc1,82.624,2509156,2502032,2443
8,base,5,smoc2,82.221,2507224,2500160,2441
8,base,5,smoc3,81.913,2498900,2496408,2437
8,base,5,smoc4,82.258,2507320,2500260,2441
8,base,5,smoc5,82.9,2508264,2501204,2442
8,base,5,smoc6,83.786,2496228,2493736,2435
8,base,5,smoc7,82.163,2507936,2500876,2442
8,base,5,smoc8,12.764,2497992,2497628,2439
8,base,6,smoc1,79.801,2506060,2498940,2440
8,base,6,smoc2,82.191,2501604,2496712,2438
8,base,6,smoc3,81.34,2499960,2495124,2436
8,base,6,smoc4,80.585,2499960,2497476,2438
8,base,6,smoc5,81.072,2497188,2495756,2437
8,base,6,smoc6,83.257,2499988,2498552,2439
8,base,6,smoc7,80.692,2501332,2497068,2438
8,base,6,smoc8,11.875,2504736,2497084,2438
8,base,7,smoc1,83.63,2497496,2495004,2436
8,base,7,smoc2,82.161,2500820,2498336,2439
8,base,7,smoc3,81.823,2500892,2495788,2437
8,base,7,smoc4,82.103,2496324,2494900,2436
8,base,7,smoc5,81.265,2499980,2495748,2437
8,base,7,smoc6,83.436,2506928,2499740,2441
8,base,7,smoc7,83.528,2507540,2500480,2441
8,base,7,smoc8,12.528,2504248,2496728,2438
8,base,8,smoc1,82.92,2495312,2494288,2435
8,base,8,smoc2,81.727,2499784,2497300,2438
8,base,8,smoc3,81.623,2508008,2500948,2442
8,base,8,smoc4,82.08,2507164,2500104,2441
8,base,8,smoc5,82.336,2507684,2500624,2442
8,base,8,smoc6,81.891,2501520,2499036,2440
8,base,8,smoc7,82.084,2500520,2495616,2437
8,base,8,smoc8,11.882,2492432,2492180,2433
8,base,9,smoc1,81.036,2498472,2494832,2436
8,base,9,smoc2,79.146,2499284,2497800,2439
8,base,9,smoc3,80.634,2497620,2492772,2434
8,base,9,smoc4,80.017,2500392,2494408,2435
8,base,9,smoc5,79.972,2499340,2496856,2438
8,base,9,smoc6,80.9,2495076,2492956,2434
8,base,9,smoc7,79.925,2503284,2497292,2438
8,base,9,smoc8,13.164,2495648,2494624,2436
8,base,10,smoc1,84.01,2497484,2496048,2437
8,base,10,smoc2,81.135,2498032,2495548,2437
8,base,10,smoc3,84.131,2507780,2500720,2442
8,base,10,smoc4,82.637,2506172,2499112,2440
8,base,10,smoc5,83.365,2507784,2500716,2442
8,base,10,smoc6,81.904,2507820,2500760,2442
8,base,10,smoc7,82.562,2500480,2499056,2440
8,base,10,smoc8,11.748,2496376,2496376,2437
4,base,1,smoc1,31.2,2507112,2502100,2443
4,base,1,smoc2,31.278,2504688,2499784,2441
4,base,1,smoc3,29.953,2495160,2492904,2434
4,base,1,smoc4,10.79,2498948,2493932,2435
4,base,2,smoc1,29.867,2501784,2496880,2438
4,base,2,smoc2,31.177,2507748,2500688,2442
4,base,2,smoc3,31.115,2496752,2491860,2433
4,base,2,smoc4,10.129,2495780,2494756,2436
4,base,3,smoc1,30.473,2500612,2495716,2437
4,base,3,smoc2,31.326,2507548,2500488,2441
4,base,3,smoc3,30.3,2502192,2496832,2438
4,base,3,smoc4,9.844,2499736,2494832,2436
4,base,4,smoc1,30.33,2497792,2493296,2434
4,base,4,smoc2,30.225,2499628,2497868,2439
4,base,4,smoc3,31.224,2498368,2496188,2437
4,base,4,smoc4,10.118,2495052,2494028,2435
