ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
12,distributed,4,smoc10,32.466,9916,9380,81528,85544,65200,4076
12,distributed,4,smoc11,31.324,696,10592,54428,68028,69152,4090
12,distributed,4,smoc12,32.88,5184,7124,53488,69040,64596,4088
12,distributed,4,smoc13,7.454,4304,1112,74592,75116,51364,4079
12,distributed,5,smoc1,33.457,10772,10332,64652,73628,68008,4087
12,distributed,5,smoc2,32.822,10672,9680,79872,87560,55864,4075
12,distributed,5,smoc3,33.044,9020,6776,69056,76024,60636,4088
12,distributed,5,smoc4,33.201,4792,6728,68496,82664,62396,4087
12,distributed,5,smoc5,33.052,6872,9712,83272,88840,54888,4079
12,distributed,5,smoc6,33.374,11300,9340,73484,78440,62936,4084
12,distributed,5,smoc7,28.827,10992,10144,77328,83804,56560,4075
12,distributed,5,smoc8,32.685,10492,7904,60428,67720,59304,4085
12,distributed,5,smoc9,31.86,9996,6444,75372,78520,63320,4087
12,distributed,5,smoc10,32.319,11076,7960,77904,85220,55836,4078
12,distributed,5,smoc11,32.207,11012,9052,18480,21036,11920,4074
12,distributed,5,smoc12,33.273,6744,5196,69440,73324,66004,4085
12,distributed,5,smoc13,10.868,10468,10340,79068,73312,114320,4092
12,distributed,6,smoc1,34.484,7024,6796,81640,89304,59896,4087
12,distributed,6,smoc2,34.758,5100,6372,74620,83068,61180,4089
12,distributed,6,smoc3,33.946,6884,10008,78020,88144,70968,4080
12,distributed,6,smoc4,33.536,4960,6932,71184,84632,67232,4087
12,distributed,6,smoc5,34.002,4168,6932,8568,16852,22288,4082
12,distributed,6,smoc6,32.369,11864,8060,74884,81136,68960,4086
12,distributed,6,smoc7,34.329,6124,6728,70620,83340,36640,4089
12,distributed,6,smoc8,31.731,7204,6964,80192,91708,61012,4083
12,distributed,6,smoc9,32.734,5556,7616,31420,36740,43348,4085
12,distributed,6,smoc10,33.51,11540,9340,81196,84960,64492,4072
12,distributed,6,smoc11,35.596,10420,8852,74836,82244,60752,4090
12,distributed,6,smoc12,32.403,8972,6932,84200,87280,55732,4072
12,distributed,6,smoc13,8.313,16604,16888,78984,77668,89892,4086
