ReplicaSet,Solution,SmocId,Experiment,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
6,centralized,smoc1,3,14.385,14248,12608,153720,154868,138112,3546
6,centralized,smoc2,3,14.03,6320,10432,105572,117200,65920,3554
6,centralized,smoc3,3,14.987,8676,10868,154008,166992,174144,3559
6,centralized,smoc4,3,14.987,5972,9552,107772,113840,62916,3552
6,centralized,smoc5,3,14.586,10184,10600,122176,126880,124732,3564
6,centralized,smoc6,3,14.779,9744,11268,135840,143380,131348,3556
6,centralized,smoc7,3,4.393,8412,692,50140,46604,64436,3550
6,centralized,smoc1,4,14.195,7408,11280,97860,118664,107640,3566
6,centralized,smoc2,4,14.846,13480,11036,119108,133628,127164,3559
6,centralized,smoc3,4,14.618,4836,9784,141316,155156,167808,3560
6,centralized,smoc4,4,14.806,11808,13248,96144,112116,61732,3557
6,centralized,smoc5,4,14.256,3816,9712,98448,117324,54672,3565
6,centralized,smoc6,4,13.954,10644,10944,83568,94320,48788,3550
6,centralized,smoc7,4,4.709,5636,3108,43064,38020,62584,3560
6,centralized,smoc1,5,14.158,10460,9276,85544,106808,63912,3569
6,centralized,smoc2,5,14.237,16616,15976,85376,94840,55416,3562
6,centralized,smoc3,5,15.675,13452,11072,112476,117720,63280,3563
6,centralized,smoc4,5,14.493,8988,9388,114552,122528,77384,3555
6,centralized,smoc5,5,15.715,13684,13028,100480,105404,94656,3559
6,centralized,smoc6,5,14.643,13860,11952,109916,113412,63496,3557
6,centralized,smoc7,5,4.843,9808,4784,49224,45880,57276,3545
6,centralized,smoc1,6,14.267,11096,10720,72072,86852,61628,3561
6,centralized,smoc2,6,15.058,7828,9356,108668,114636,73816,3563
6,centralized,smoc3,6,14.893,13684,12780,95408,100984,63308,3556
6,centralized,smoc4,6,15.144,3452,9216,88620,105336,103624,3568
6,centralized,smoc5,6,14.481,12388,10608,103300,113052,62096,3563
6,centralized,smoc6,6,14.864,8924,9380,86076,99772,88484,3562
6,centralized,smoc7,6,4.440,7040,5096,60016,58452,69084,3552
6,centralized,smoc1,7,15.821,4104,12008,109728,129240,74224,3568
6,centralized,smoc2,7,15.374,11400,11572,104184,121948,69124,3565
6,centralized,smoc3,7,14.288,7724,8272,126508,130900,71612,3565
